Classification	Sub-classification
HMO/ASIANLIFE	HMO/ASIANLIFE
HMO/AVEGA	HMO/AVEGA
HMO/BLUECROSS	HMO/BLUECROSS
HMO/CAREHEALTHPLUS	HMO/CAREHEALTHPLUS
HMO/COCOLIFE	HMO/COCOLIFE
HMO/EASTWEST	HMO/EASTWEST
HMO/GENERALIPHIL	HMO/GENERALI
HMO/GENERALIPHIL	HMO/GENERALI PHIL
HMO/GENERALIPHIL	HMO/GENERALI PILIPINAS
HMO/GETWELL	HMO/GETWELL
HMO/HMI	HMO/HMI
HMO/INTELLICARE	HMO/INTELLICARE
HMO/LACSON-LACSON	HMO/LACSON-LACSON
HMO/MAXICARE	HMO/MAXICARE
HMO/MEDASIA	HMO/MEDASIA
HMO/MEDICARD	HMO/MEDICARD
HMO/MEDOCARE	HMO/MEDOCARE
HMO/PHILCARE	HMO/PHILCARE
HMO/VALUCARE	HMO/VALUCARE
