Classification	Sub-classification
DR. BASUIL/PEDRO SYSON	DR. BASUIL/PEDRO SYSON
DR. HONESTO LASAM	DR. HONESTO LASAM
DR. JHONSEL ESPINOSA	DR. JOHNSEL ESPINOSA
DR. JHONSEL ESPINOSA	DR. JOHNSEL ESPINOSA
DR. JHONSEL ESPINOSA	DR. JHONCEL ESPINOSA
DR. KEVIN CHAN	DR. KEVIN CHAN
DR. LUIS REY  RODRIQUEZ	DR. LUIS REY  RODRIQUEZ
DR. NARCISO DIOKNO	DR. NARCISO DIOKNO
DR. PATRICK DIZON	DR. PATRICK DIZON
DR. PEDRO SYSON	DR. PEDRO SYSON
DR. PEDRO SYSON	DR. PEDRO A. SYSON
DR. PEDRO SYSON	PEDRO A. SYSON
DR. PETER ALBERT SYSON	DR. PETER ALBERT SYSON
DR. RODIL DELA PAZ	DR. RODIL DELA PAZ
DRA. ANNA LIZA VIRTUCIO	DRA. ANNA LIZA VIRTUCIO
DRA. ANNA LIZA VIRTUCIO	DR. ANNA LIZA VIRTUCIO
DRA. CARMEN CORAZON REYES	DRA. CARMEN CORAZON REYES
DRA. CARMEN CORAZON REYES	DR. CARMEN CORAZON REYES
DRA. CAROLINA VALDECAÑAS	DRA. CAROLINA VALDECAÑAS
DRA. CAROLINA VALDECAÑAS	DR. CAROLINA VALDECAÑAS
DRA. CHASTITY AMOR REJUSO	DRA. CHASTITY AMOR REJUSO
DRA. CHASTITY AMOR REJUSO	DR. CHASTITY AMOR REJUSO
DRA. CHASTITY AMOR REJUSO	DRA. CHASTITY REJUSO
DRA. GRACIA CIELO BALCE	DRA. GRACIA CIELO BALCE
DRA. GRACIA CIELO BALCE	DR. GRACIA CIELO BALCE
DRA. GRACIA CIELO BALCE	DR. GARCIA CIELO BALCE
DRA. TERESITA JOY EVANGELISTA	DRA. TERESITA JOY EVANGELISTA
DRA. TERESITA JOY EVANGELISTA	DR. TERESITA JOY EVANGELISTA
DR. DAVID BRYAN MONTENEGRO	DR. DAVID BRYAN MONTENEGRO
DR. DAVID BRYAN MONTENEGRO	DR. BRYAN DAVID MONTENEGRO
DR. DAVID BRYAN MONTENEGRO	DR. MONTENEGRO BRYAN
